lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi
2,AFFX.BioB.5_at,2,40.876,3.68461022989979,37.597,44.278
3,AFFX.BioB.M_at,2,40.876,3.8490743024325,37.597,44.278
4,AFFX.BioB.3_at,2,40.876,2.38253576137887,34.337,55.905
5,AFFX.BioC.5_at,2,40.876,3.60793646492964,37.597,46.038
9,AFFX.CreX.5_at,2,43.457,2.69366819864687,37.597,50.193
11,AFFX.DapX.5_at,2,40.923,4.02204729293115,35.822,50.061
12,AFFX.DapX.M_at,2,46.038,2.25941668710068,8.794,70.475
13,AFFX.DapX.3_at,2,46.038,2.52372075215557,37.597,58.584
14,AFFX.LysX.5_at,2,41.168,3.55681544035827,37.597,54.103
15,AFFX.LysX.M_at,2,46.038,2.02958095964188,5.517,58.584
16,AFFX.LysX.3_at,2,46.038,2.09498477449484,0,58.584
17,AFFX.PheX.5_at,2,40.923,3.21362095010415,35.822,58.584
19,AFFX.PheX.3_at,2,46.038,2.14011881392228,5.517,68.792
20,AFFX.ThrX.5_at,2,40.923,6.40474491177044,37.597,42.433
21,AFFX.ThrX.M_at,2,40.923,3.10967426033384,35.822,54.103
25,AFFX.TrpnX.3_at,5,64.551,2.14951330527359,57.825,70.249
26,AFFX.r2.Ec.bioB.5_at,2,40.876,3.86190802924512,37.597,44.278
27,AFFX.r2.Ec.bioB.M_at,1,73.423,2.00934147972973,10.346,81.621
33,AFFX.r2.P1.cre.5_at,2,19.96,2.72363864931022,8.794,28.593
35,AFFX.r2.Bs.dap.5_at,2,40.923,3.83125638200113,37.441,54.103
36,AFFX.r2.Bs.dap.M_at,2,46.038,2.24587714916473,11.686,68.792
37,AFFX.r2.Bs.dap.3_at,2,46.904,2.2675150305957,41.168,54.103
41,AFFX.r2.Bs.phe.5_at,2,51.863,2.08935564175763,35.822,66.759
42,AFFX.r2.Bs.phe.M_at,2,51.863,2.39060373805714,7.31,61.073
44,AFFX.r2.Bs.thr.3_s_at,2,46.038,2.03808220114934,11.995,61.073
44,AFFX.r2.Bs.thr.3_s_at,3,0.252,2.42771110710459,0,77.554
45,AFFX.r2.Bs.thr.M_s_at,2,40.923,4.64762883852906,37.597,46.314
46,AFFX.r2.Bs.thr.5_s_at,2,40.923,5.35396096501266,37.441,42.433
47,AFFX.r2.At.U12639_at,1,85.833,2.14522220476893,76.492,102.488
49,AFFX.r2.At.Actin.M_s_at,5,13.716,46.9710340287578,12.446,14.841
50,AFFX.r2.At.Actin.3_s_at,4,3.554,3.19198439082034,0.778,14.691
50,AFFX.r2.At.Actin.3_s_at,5,13.716,121.550837870272,12.628,14.841
51,AFFX.r2.At.GAPDH.5_s_at,2,34.337,3.07956821919205,7.31,42.57
53,AFFX.r2.At.Ubq.5_x_at,2,14.39,3.38472472844915,5.517,46.038
53,AFFX.r2.At.Ubq.5_x_at,4,12.297,23.716731600392,11.475,14.691
53,AFFX.r2.At.Ubq.5_x_at,5,7.243,2.64555654200087,0,85.091
54,AFFX.r2.At.Ubq.3_x_at,2,40.598,8.92731569908082,37.597,44.278
56,AFFX.Athal.5SrRNA_at,2,41.658,4.13264635709568,37.441,46.038
56,AFFX.Athal.5SrRNA_at,5,48.908,5.69443309359411,42.18,52.291
57,AFFX.Athal.Actin_3_f_at,4,3.554,3.27493727357486,1.503,12.297
57,AFFX.Athal.Actin_3_f_at,5,13.716,126.523363118905,12.628,14.841
58,AFFX.Athal.Actin_5_r_at,3,49.867,2.13885908958615,0.252,77.554
59,AFFX.Athal.Actin_M_at,5,12.017,7.38373194806989,7.871,22.381
61,AFFX.Athal.GAPDH_5_s_at,2,34.337,2.3552881608919,5.517,44.566
