lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi
11,AFFX.DapX.5_at,1,0,2.55544780538587,0,6.883
11,AFFX.DapX.5_at,2,40.923,3.6886625005554,35.822,42.57
12,AFFX.DapX.M_at,1,0,2.70978243246918,0,6.228
12,AFFX.DapX.M_at,2,41.658,2.6494710121798,14.39,58.584
13,AFFX.DapX.3_at,1,1.992,3.16844785128495,0,6.228
13,AFFX.DapX.3_at,2,40.923,2.61619108338372,19.031,50.061
14,AFFX.LysX.5_at,1,2.546,3.01344574122881,0,6.883
14,AFFX.LysX.5_at,2,41.168,3.34578192491567,19.031,46.038
15,AFFX.LysX.M_at,1,1.992,2.04694029359405,0,51.298
16,AFFX.LysX.3_at,1,2.546,2.99611765417871,0,8.439
16,AFFX.LysX.3_at,2,42.433,3.24774514796632,37.597,51.863
17,AFFX.PheX.5_at,1,1.992,2.51432501804107,0,6.228
17,AFFX.PheX.5_at,2,41.658,2.22094351064372,12.265,58.584
18,AFFX.PheX.M_at,1,2.546,3.0441856119256,0,8.439
19,AFFX.PheX.3_at,1,2.546,2.2393098749782,0,51.298
19,AFFX.PheX.3_at,2,42.433,2.15779875965917,14.39,65.436
20,AFFX.ThrX.5_at,2,40.923,3.93813136048052,35.822,42.57
21,AFFX.ThrX.M_at,1,1.992,2.49977931427754,0,6.883
21,AFFX.ThrX.M_at,2,40.923,3.19940735936593,37.441,42.57
22,AFFX.ThrX.3_at,1,0,3.31052755703225,0,6.228
35,AFFX.r2.Bs.dap.5_at,1,0,2.86430153295683,0,5.357
35,AFFX.r2.Bs.dap.5_at,2,41.168,3.9269734524236,37.441,42.57
36,AFFX.r2.Bs.dap.M_at,1,1.992,3.55459267464751,0,5.036
36,AFFX.r2.Bs.dap.M_at,2,41.658,2.77200504862384,19.466,51.863
37,AFFX.r2.Bs.dap.3_at,1,2.546,2.60245789804511,0,8.439
37,AFFX.r2.Bs.dap.3_at,2,41.658,2.69289283532403,35.822,54.103
38,AFFX.r2.Bs.lys.5_at,1,2.546,4.16943659033821,0,6.228
38,AFFX.r2.Bs.lys.5_at,2,41.658,2.57341642334919,37.441,61.073
39,AFFX.r2.Bs.lys.M_at,1,7.744,2.29288238580228,0,51.298
40,AFFX.r2.Bs.lys.3_at,1,1.992,2.83768752966909,0,10.346
41,AFFX.r2.Bs.phe.5_at,1,2.546,2.22049370728981,0,8.439
41,AFFX.r2.Bs.phe.5_at,2,41.658,2.1431198652057,14.39,56.756
42,AFFX.r2.Bs.phe.M_at,1,0,3.30461836554413,0,6.228
42,AFFX.r2.Bs.phe.M_at,2,41.658,2.37854760030551,35.822,61.073
43,AFFX.r2.Bs.phe.3_at,2,41.658,2.41359352918539,35.822,58.584
44,AFFX.r2.Bs.thr.3_s_at,1,1.992,2.70549859871427,0,8.439
45,AFFX.r2.Bs.thr.M_s_at,1,0,2.53934030160771,0,6.228
45,AFFX.r2.Bs.thr.M_s_at,2,40.923,3.1348395660684,35.822,50.193
46,AFFX.r2.Bs.thr.5_s_at,2,41.168,3.84845171705353,35.822,42.57
49,AFFX.r2.At.Actin.M_s_at,5,20.151,2.12704914547785,4.284,32.191
50,AFFX.r2.At.Actin.3_s_at,5,16.678,2.06818429815324,11.004,32.191
54,AFFX.r2.At.Ubq.3_x_at,2,40.598,3.09128476788901,33.816,44.566
64,AFFX.Athal.Ubq_5_f_at,2,41.168,2.10400364854797,26.855,51.863
66,X267625_at,2,41.658,2.51653190000657,28.593,68.792
67,X267626_at,3,42.119,2.41072942744059,6.634,75.045
68,X267627_at,5,23.498,2.98199289113155,15.502,28.585
71,X267630_at,2,46.74,2.84672247842181,37.597,58.584
71,X267630_at,4,68.5,2.36883575953298,3.554,77.075
72,X267631_at,2,32.418,2.60588446136488,26.855,54.103
72,X267631_at,5,14.841,2.18098062634827,0,23.209
73,X267632_at,5,23.209,2.58914922522395,16.304,45.369
76,X267635_at,2,13.275,2.97642105894945,4.511,18.762
76,X267635_at,5,70.305,2.03922976676267,18.812,79.862
78,X267637_at,2,41.658,2.07171557683814,28.593,51.863
80,X267639_at,2,7.31,2.03014270235555,0,63.642
82,X267641_at,2,44.278,2.06754492594149,31.955,61.073
85,X267644_s_at,2,51.863,2.36661254724568,33.146,58.892
85,X267644_s_at,3,70.322,2.14928770933767,54.116,77.554
85,X267644_s_at,5,7.243,2.11790461173101,0,97.796
86,X267645_at,5,0.293,3.07541475735348,0,42.18
87,X267646_at,1,5.357,2.01607259532277,0,88.541
92,X267597_at,2,44.278,2.99820075403173,37.597,68.792
95,X267600_at,2,14.39,4.21028218559627,8.794,27.27
95,X267600_at,5,85.532,2.16916262744992,25.121,97.796
100,X267605_at,1,3.401,2.43850649789475,0,37.1
101,X267606_at,3,62.923,2.03855461367085,9.129,70.322
101,X267606_at,4,31.702,2.09872303420753,19.442,60.902
102,X267607_s_at,2,42.433,5.93781526117323,37.597,46.038
103,X267608_at,4,31.702,2.18006915346936,19.442,50.599
104,X267609_at,2,13.294,2.26733245080865,4.511,27.27
108,X267613_at,3,73.252,2.10908628683139,4.189,77.554
110,X267615_at,3,12.925,2.32387498188544,0,17.912
110,X267615_at,4,28.54,2.33452974968464,5.572,61.895
113,X267618_at,5,33.369,2.256712026201,28.585,42.18
114,X267619_at,4,30.848,2.21671338932694,19.442,50.599
118,X267623_at,1,0,2.62625183043945,0,41.478
119,X267624_at,5,43.61,2.47797661337817,20.151,77.327
120,X267590_at,2,12.265,2.6782233148227,5.517,28.593
120,X267590_at,3,77.458,2.17507893704339,28.024,77.554
120,X267590_at,5,26.071,2.81975431591307,4.284,33.369
122,X267592_at,2,8.099,3.06294603642899,0,58.584
122,X267592_at,5,66.47,2.50593669552093,42.18,87.747
125,X267564_at,2,41.658,5.77048314947689,37.441,48.567
126,X267565_at,5,72.037,2.08870330329389,66.47,82.369
128,X267567_at,2,42.433,5.87194860215388,37.597,48.567
128,X267567_at,3,44.843,3.31825527151249,39.896,61.764
128,X267567_at,5,66.365,8.15436853163533,65.519,72.735
133,X267572_at,2,4.511,8.32455796959869,0.294,19.031
134,X267573_at,2,43.457,3.14800519816829,23.475,62.876
136,X267575_at,1,33.238,2.25723351610319,17.663,37.817
137,X267576_at,3,49.867,2.05556514114617,42.529,58.894
141,X267580_at,1,37.817,2.19228291384636,0,46.623
143,X267582_at,3,11.466,4.16684630579135,6.289,16.045
144,X267583_at,5,26.071,2.65305672069163,13.716,32.191
147,X267586_at,2,41.658,3.08340781016759,33.816,46.038
147,X267586_at,4,17.712,2.6442120901203,3.554,28.287
149,X267588_at,5,32.191,2.14570150016639,1.112,75.37
151,X267530_at,2,19.466,2.12651087164342,11.686,51.863
152,X267531_at,1,75.748,2.20868866127498,53.826,85.51
153,X267532_at,2,14.39,3.20889678308968,8.794,46.038
156,X267535_at,2,14.39,4.22230051501611,10.91,21.436
158,X267537_at,2,14.39,6.35034396474365,10.91,18.762
158,X267537_at,4,19.442,2.11017157990117,0,67.175
161,X267540_at,5,25.375,2.46855728835271,14.841,53.584
167,X267546_at,2,14.39,11.6650133731275,11.315,18.762
167,X267546_at,5,71.454,7.63560009276527,66.22,75.37
169,X267548_at,5,70.129,2.39342091068853,59.438,74.072
171,X267550_at,2,40.598,4.75616764122248,37.597,46.038
