lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi
2,AFFX.BioB.5_at,2,40.598,2.09600303806629,0.294,68.792
3,AFFX.BioB.M_at,1,16.004,2.56945948881557,10.346,20.232
5,AFFX.BioC.5_at,2,14.39,3.6000099212346,4.511,18.762
8,AFFX.BioDn.3_at,1,91.585,3.09675245461412,79.776,99.865
9,AFFX.CreX.5_at,2,10.576,2.43447691894198,0,48.567
10,AFFX.CreX.3_at,2,14.39,2.08682702324111,0,48.567
11,AFFX.DapX.5_at,2,11.686,2.81194388717729,5.517,18.762
12,AFFX.DapX.M_at,2,15.282,3.65579928032147,7.31,18.762
13,AFFX.DapX.3_at,2,15.282,3.60968665516175,8.794,18.762
14,AFFX.LysX.5_at,2,11.995,3.75052536821249,5.517,19.886
15,AFFX.LysX.M_at,2,15.282,3.47707326745066,7.31,19.886
16,AFFX.LysX.3_at,2,15.282,4.40113987081034,8.794,18.762
17,AFFX.PheX.5_at,2,11.686,2.60018571091154,2.508,18.762
18,AFFX.PheX.M_at,2,15.282,3.41105178412197,8.794,19.886
19,AFFX.PheX.3_at,2,15.282,3.29299317797571,5.517,18.762
20,AFFX.ThrX.5_at,2,11.315,2.54364180815765,0.294,18.762
21,AFFX.ThrX.M_at,2,11.315,2.36203103766094,2.508,19.96
22,AFFX.ThrX.3_at,2,10.576,2.72657111649027,5.517,19.886
25,AFFX.TrpnX.3_at,3,4.189,2.66536910336479,0,14.269
26,AFFX.r2.Ec.bioB.5_at,2,34.337,2.00208995696442,28.593,55.099
28,AFFX.r2.Ec.bioB.3_at,2,14.39,4.42372224681669,8.794,18.762
29,AFFX.r2.Ec.bioC.5_at,1,16.004,3.35934727023518,11.79,21.369
29,AFFX.r2.Ec.bioC.5_at,2,11.315,3.22416157622021,2.508,18.762
30,AFFX.r2.Ec.bioC.3_at,1,91.585,2.72882581887735,10.346,99.865
30,AFFX.r2.Ec.bioC.3_at,2,34.337,2.72849830257449,28.593,43.457
31,AFFX.r2.Ec.bioD.5_at,2,10.91,3.94026656198259,7.31,18.762
32,AFFX.r2.Ec.bioD.3_at,2,14.39,3.13065954764697,8.099,18.762
33,AFFX.r2.P1.cre.5_at,2,14.39,6.56511999379421,8.794,18.762
35,AFFX.r2.Bs.dap.5_at,2,15.282,2.14570787361069,0,23.475
36,AFFX.r2.Bs.dap.M_at,2,15.282,3.82885601066048,8.794,18.762
37,AFFX.r2.Bs.dap.3_at,2,15.282,3.22449065211621,8.794,19.96
37,AFFX.r2.Bs.dap.3_at,4,67.637,2.21942358492389,5.572,74.58
38,AFFX.r2.Bs.lys.5_at,2,15.282,4.24686327065221,8.794,19.96
41,AFFX.r2.Bs.phe.5_at,2,11.686,2.95990909292691,5.517,19.886
42,AFFX.r2.Bs.phe.M_at,2,11.686,2.90539266342891,5.517,19.96
43,AFFX.r2.Bs.phe.3_at,2,10.576,3.26171531898646,8.794,19.96
44,AFFX.r2.Bs.thr.3_s_at,2,15.282,2.58637783401698,0,19.96
45,AFFX.r2.Bs.thr.M_s_at,2,11.686,2.33747786687565,0,18.762
46,AFFX.r2.Bs.thr.5_s_at,2,11.315,3.52386081608715,5.517,18.762
49,AFFX.r2.At.Actin.M_s_at,5,13.716,51.3258315640952,12.017,14.841
50,AFFX.r2.At.Actin.3_s_at,4,3.554,3.14406961284544,0.778,12.297
50,AFFX.r2.At.Actin.3_s_at,5,13.716,134.638843402547,12.628,14.841
51,AFFX.r2.At.GAPDH.5_s_at,1,48.514,3.14323965383304,33.238,52.429
52,AFFX.r2.At.GAPDH.3_s_at,1,48.514,2.99813845322345,31.996,63.674
53,AFFX.r2.At.Ubq.5_x_at,2,14.39,6.39973296186151,8.794,18.762
53,AFFX.r2.At.Ubq.5_x_at,3,75.455,2.11121377536496,59.8,77.554
53,AFFX.r2.At.Ubq.5_x_at,4,12.297,25.9047905405945,11.475,14.691
53,AFFX.r2.At.Ubq.5_x_at,5,2.805,3.48088091470067,0,26.071
54,AFFX.r2.At.Ubq.3_x_at,2,14.39,5.04248534526797,5.517,42.433
54,AFFX.r2.At.Ubq.3_x_at,3,74.655,2.03745418343574,4.189,77.554
56,AFFX.Athal.5SrRNA_at,2,41.658,3.37270880021807,34.337,61.073
56,AFFX.Athal.5SrRNA_at,5,48.908,6.57426351449695,46.007,52.291
57,AFFX.Athal.Actin_3_f_at,4,3.554,3.14676210178324,0.778,12.297
57,AFFX.Athal.Actin_3_f_at,5,13.716,140.094064479223,12.628,14.841
59,AFFX.Athal.Actin_M_at,1,79.776,2.59296878234241,31.996,90.788
59,AFFX.Athal.Actin_M_at,5,12.017,9.3746179756864,9.809,13.716
60,AFFX.Athal.GAPDH_3_s_at,5,26.071,2.81906736294698,8.553,68.694
61,AFFX.Athal.GAPDH_5_s_at,1,48.514,2.86815699935882,31.996,58.595
61,AFFX.Athal.GAPDH_5_s_at,3,77.554,2.37395641189868,39.896,77.554
62,AFFX.Athal.GAPDH_M_s_at,1,48.514,3.99967016331304,37.1,53.826
63,AFFX.Athal.Ubq_3_f_at,1,65.77,2.26322278635492,53.826,92.916
63,AFFX.Athal.Ubq_3_f_at,2,14.39,2.45437821387687,4.511,44.278
64,AFFX.Athal.Ubq_5_f_at,2,14.39,3.75229672652656,2.508,19.031
64,AFFX.Athal.Ubq_5_f_at,4,12.297,54.7236668124004,11.917,14.691
65,AFFX.Athal.Ubq_M_f_at,2,14.39,4.84371200671984,4.511,18.762
65,AFFX.Athal.Ubq_M_f_at,3,73.144,2.84834893752435,64.485,77.554
66,X267625_at,2,19.466,2.42458423185982,4.511,42.57
66,X267625_at,3,9.466,6.88290908782178,0,16.045
66,X267625_at,5,7.871,2.39612298527617,0,16.304
67,X267626_at,2,12.265,3.5970582148125,7.31,18.762
67,X267626_at,3,41.577,2.05979102417861,27.164,77.554
68,X267627_at,2,44.566,3.77874734264078,41.168,51.863
69,X267628_at,2,14.39,6.67139424960746,8.794,18.762
69,X267628_at,4,0.778,3.49752479304895,0,17.712
70,X267629_at,1,88.633,4.94740976831892,81.621,96.792
70,X267629_at,2,37.441,7.68518111718811,28.593,44.278
70,X267629_at,4,57.737,5.47689183493383,56.21,67.925
70,X267629_at,5,85.299,2.18075570637252,0,97.796
71,X267630_at,2,14.39,11.6417451934826,8.794,15.282
71,X267630_at,3,73.252,6.89852789966017,59.8,74.472
71,X267630_at,5,61.014,3.25704831910267,49.737,66.22
76,X267635_at,2,14.39,30.5692057212859,13.294,15.282
76,X267635_at,3,77.458,2.84386675505951,60.034,77.554
76,X267635_at,5,62.148,3.11871010515243,45.369,86.614
77,X267636_at,1,51.727,2.78948888355218,17.298,101.058
77,X267636_at,2,61.073,23.070237391661,58.892,62.876
77,X267636_at,4,57.737,3.4870970152042,46.139,74.58
78,X267637_at,2,10.91,3.69876648317402,0,18.762
78,X267637_at,5,52.291,4.09979089332757,49.737,58.717
79,X267638_at,2,61.988,4.79889925954858,8.794,65.436
79,X267638_at,5,89.457,2.43528789857153,49.737,91.49
81,X267640_at,2,46.74,5.34605374707375,43.457,51.863
83,X267642_at,2,14.39,2.81829337409223,5.517,70.475
84,X267643_at,2,15.282,4.71420249720571,8.099,18.762
85,X267644_s_at,1,92.916,5.41771047143127,64.32,96.792
85,X267644_s_at,4,58.794,5.29761155327789,56.21,64.914
85,X267644_s_at,5,95.251,2.75866099206124,0,97.796
86,X267645_at,2,50.278,2.42281062708087,37.597,68.792
86,X267645_at,4,58.794,5.77600437064313,56.21,64.594
86,X267645_at,5,97.506,2.38525100368109,0,97.796
87,X267646_at,2,50.278,27.0029768513514,48.567,51.863
87,X267646_at,4,8.265,2.38495848063954,0.778,31.087
90,X267595_at,2,14.39,2.25080260593901,0,54.103
90,X267595_at,5,85.532,3.57138084191915,65.519,95.251
91,X267596_s_at,2,46.314,8.37302015518835,40.598,49.108
91,X267596_s_at,3,70.484,2.27699992934182,14.269,77.554
92,X267597_at,2,50.061,9.107318080083,49.108,54.103
92,X267597_at,3,27.93,2.90708432915048,18.179,77.554
92,X267597_at,5,55.526,2.3152731903688,46.007,91.49
94,X267599_at,2,14.39,2.27612014373833,5.517,50.061
95,X267600_at,2,14.39,5.73139657722809,11.686,26.771
95,X267600_at,5,26.975,2.21154743158251,15.502,97.796
96,X267601_at,2,14.39,11.3132465873541,13.294,18.762
96,X267601_at,3,60.612,2.37609112003131,49.867,77.554
97,X267602_at,1,85.51,3.38877884010817,1.992,99.865
97,X267602_at,5,64.761,2.82381683717137,42.18,73.503
98,X267603_at,2,14.39,3.67898602061393,8.794,19.886
100,X267605_at,2,41.658,4.03995693113599,34.337,54.196
101,X267606_at,2,42.433,48.593517229446,41.658,43.457
102,X267607_s_at,2,42.716,64.8077454575689,42.433,43.457
103,X267608_at,2,49.108,2.25585897345783,28.593,70.475
104,X267609_at,2,14.39,10.8597803056255,11.686,18.762
104,X267609_at,3,77.554,3.03810367138316,54.53,77.554
105,X267610_at,1,14.3,2.19860154823003,0.733,41.478
105,X267610_at,2,42.433,24.1239146618782,41.168,43.457
106,X267611_at,2,46.314,3.48294850900525,14.39,51.863
107,X267612_at,2,40.923,21.7821655264412,37.597,42.433
107,X267612_at,4,50.599,2.20782624580451,0,70.864
108,X267613_at,1,91.853,2.77701323702781,85.51,101.058
108,X267613_at,2,40.598,2.34421788537678,2.508,46.593
109,X267614_at,2,14.39,4.74703695033546,11.686,21.436
109,X267614_at,3,60.034,8.11644070040951,57.156,64.485
109,X267614_at,5,87.747,2.99718239376116,55.526,95.251
111,X267616_at,2,41.658,6.66939026810247,37.597,44.278
111,X267616_at,3,74.655,2.52728033906348,71.469,77.554
111,X267616_at,5,85.091,4.59117520602482,82.96,86.614
112,X267617_at,1,96.792,2.88369174781862,78.371,102.488
112,X267617_at,2,15.282,4.68460359497768,10.576,18.762
112,X267617_at,4,40.771,2.29842410740222,1.503,77.075
113,X267618_at,2,42.716,30.4098966921905,41.168,43.457
113,X267618_at,4,39.214,2.29172236856718,0,77.075
113,X267618_at,5,83.259,2.17741925528775,59.438,97.796
114,X267619_at,5,87.21,3.1793372893223,65.519,95.251
117,X267622_at,2,46.904,8.00793408431685,37.597,49.108
118,X267623_at,5,68.694,10.4389843921683,66.47,71.454
